,f1-score,precision,recall,support
accuracy,0.8383404864091559,0.8383404864091559,0.8383404864091559,0.8383404864091559
hip-hop,0.7891156462585035,0.7981651376146789,0.7802690582959642,223.0
macro avg,0.8327837325331061,0.8329093167627954,0.8327696103410789,699.0
pop,0.7657657657657657,0.7589285714285714,0.7727272727272727,220.0
rock-n-roll,0.9434697855750488,0.9416342412451362,0.9453125,256.0
weighted avg,0.838296885109195,0.8383597670402203,0.8383404864091559,699.0
